"unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_ERCC_percent","non_mt_percent","non_ribo_percent","batch","outliers","cell_number","cell_line_demuxlet","demuxlet_cls"
"p1_A1",30876,16821,120981,31238,4299,1001,10619,7242,35046,0.991183016323922,0.903812132367799,0.979227021849277,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_A10",23078,8676,85007,29515,2521,1142,10285,5916,24403,0.985698479291194,0.908617792521978,0.979346400300619,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","DBL"
"p1_A14",26348,9253,125704,18996,3532,934,36837,5877,30231,0.990903377000131,0.888061922897667,0.981839508504678,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_A15",47660,13187,213805,30657,5255,931,71803,7608,43494,0.993608313561961,0.904883431989497,0.986733575496948,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","SNG"
"p1_A16",31069,13668,134935,31658,4018,297,28564,7480,41731,0.997052550622546,0.90021806309453,0.979104028395191,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","SNG"
"p1_A19",28970,16409,138583,17549,3739,822,50304,6021,31314,0.992176023187017,0.879670434668305,0.983042414561406,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_A2",23408,12696,86887,31578,2502,584,14723,6062,23722,0.992454261448253,0.899502571073475,0.986130601917797,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","DBL"
"p1_A20",37996,22567,154931,47995,4966,999,18290,7829,41417,0.99229784846988,0.910833715404101,0.975275617433513,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_A21",20833,21038,79354,31421,2228,900,12107,5585,21601,0.987361695760677,0.913476227529524,0.978565354120016,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","DBL"
"p1_A23",17018,7723,56118,21616,1808,682,5415,4802,17078,0.985888276738559,0.900105398231581,0.979036784730774,"sc_Celseq2_5cl_p1","FALSE",2,"A549","DBL"
"p1_A24",30894,21383,87088,30181,2540,535,11503,6506,27532,0.993316867284136,0.909087606817853,0.984526738149521,"sc_Celseq2_5cl_p1","FALSE",2,"H2228","SNG"
"p1_A3",29995,25783,113979,41835,3174,872,13797,6733,29574,0.991276120581837,0.912084939165455,0.983261992540072,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","DBL"
"p1_A4",34551,29818,157886,38165,4538,715,52039,7363,39165,0.993565683392425,0.899399974237355,0.981871318301719,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_A5",19749,9593,65981,17048,1987,570,11960,4957,19233,0.990797067025011,0.892216502421767,0.97966984886921,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_A7",52129,25599,270444,32600,3985,840,176128,5549,35931,0.993264868499829,0.886671676021633,0.986056334069095,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","SNG"
"p1_A8",35353,24887,140111,35892,3132,702,54888,5902,32224,0.993141757387928,0.903953574694652,0.982217917633467,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","SNG"
"p1_A9",26893,8069,108766,18610,3538,572,10562,7450,35946,0.993907527682104,0.900851276664761,0.983558397719246,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","SNG"
"p1_B10",16794,9232,78629,11328,1748,690,41199,3905,17619,0.98683239628422,0.881945626379508,0.981496690222663,"sc_Celseq2_5cl_p1","FALSE",1,"H838","DBL"
"p1_B11",24871,13086,121222,17737,3886,492,43033,5634,27215,0.994598566601287,0.884916406068375,0.982399051111868,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_B12",16197,8274,79111,14789,1619,412,33156,4524,18101,0.992210374569245,0.879951383415308,0.983812505490025,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_B14",42353,8882,72879,18809,2509,783,6242,5460,20551,0.98895430831154,0.909639433161579,0.98199553209307,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","SNG"
"p1_B16",29066,6606,127168,11712,3065,697,63882,5208,26771,0.991109782603896,0.886182809425803,0.983750706454482,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_B2",52125,59872,193701,63475,6085,666,37280,7964,47009,0.996319853433104,0.906124358972511,0.980535433526466,"sc_Celseq2_5cl_p1","FALSE",1,"H838","SNG"
"p1_B20",15201,12127,67351,15337,1647,842,26387,3781,15262,0.983291835288106,0.881208229012444,0.980473738387015,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_B21",36145,7856,111034,18555,2789,884,29077,5830,27078,0.990508899848398,0.903094762942945,0.98194069652829,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","SNG"
"p1_B22",36967,20414,174458,38598,4097,708,66147,6873,37152,0.994105296890045,0.900893625941835,0.981561966633838,"sc_Celseq2_5cl_p1","FALSE",2,"HCC827","DBL"
"p1_B24",38274,11096,165023,21846,2669,679,101737,4950,26453,0.991834574153467,0.874380977252342,0.986806416358668,"sc_Celseq2_5cl_p1","FALSE",2,"A549","DBL"
"p1_B3",11747,5150,28014,9536,659,410,6038,3406,9358,0.983329770267867,0.897520836826757,0.986107089007171,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","DBL"
"p1_B4",111772,74944,499833,114208,14723,860,130501,11694,110534,0.997738252393133,0.895018727188465,0.983823892754818,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","DBL"
"p1_B5",53614,27928,262476,40061,6134,814,128106,7664,48266,0.995400488750797,0.880474868254988,0.98748581040778,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_B8",16990,8546,80532,16729,2184,610,28361,4570,17815,0.988492842554874,0.899635138422882,0.982373852161745,"sc_Celseq2_5cl_p1","FALSE",1,"H838","DBL"
"p1_B9",22906,9407,113341,21030,2881,719,44167,5546,24580,0.990642798620568,0.888649308019264,0.981447932690019,"sc_Celseq2_5cl_p1","FALSE",1,"H838","DBL"
"p1_C1",32171,21686,125668,34188,2576,913,51152,5814,27489,0.990432536290723,0.883517042859501,0.985375610107458,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_C10",53740,14202,260879,33301,4715,1092,138116,6601,41825,0.991918708668997,0.894225941208792,0.98711273470108,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","SNG"
"p1_C11",55431,30067,267746,43701,5263,889,133797,7032,45939,0.994231480660391,0.892749080107806,0.981736437071674,"sc_Celseq2_5cl_p1","FALSE",1,"HCC827","SNG"
"p1_C13",20180,7965,97699,12408,2135,653,45990,4500,20434,0.989429381917672,0.882842321188782,0.984192530002677,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_C14",31873,19288,109799,32281,2862,657,17464,6843,30179,0.991981178636807,0.912124324559421,0.985983304289968,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","DBL"
"p1_C15",32801,15948,169392,28323,3772,863,76088,6043,32172,0.991514360005124,0.875606116848313,0.981225605736166,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_C16",16833,4893,81586,13163,1364,637,37278,4327,18549,0.989217747054171,0.894603482185237,0.97886625755229,"sc_Celseq2_5cl_p1","FALSE",1,"H2228","DBL"
"p1_C17",30277,18841,134303,30444,3414,696,52391,6378,32157,0.992754298910734,0.876107845608699,0.98457536941401,"sc_Celseq2_5cl_p1","FALSE",1,"A549","DBL"
"p1_C19",19004,11095,81137,15611,2304,814,24240,4629,19103,0.985656702619664,0.892268229653841,0.984870970595733,"sc_Celseq2_5cl_p1","FALSE",1,"A549","SNG"
"p1_C2",29103,12799,123392,26996,3522,1112,32211,6230,29372,0.988458395414525,0.906067002279018,0.977290965105895,"sc_Celseq2_5cl_p1","FALSE",1,"H1975","SNG"
"p1_C22",47047,21435,209309,49435,6304,792,51193,8338,50907,0.994735497869697,0.898619050248764,0.980552580086711,"sc_Celseq2_5cl_p1","FALSE",2,"HCC827","DBL"
"p1_C23",47045,19735,238286,45967,5603,671,89327,8225,54738,0.995615477183014,0.887865833445163,0.981109835743024,"sc_Celseq2_5cl_p1","FALSE",2,"A549","DBL"
"p1_C24",56004,32124,234176,60524,7110,951,25091,9092,61410,0.995326493894264,0.904038430075877,0.978114154353663,"sc_Celseq2_5cl_p1","FALSE",2,"H838","DBL"
